,image_name,encoder_type,encoder_args,encoder_name,num_bytes,mse,ssim,psnr
212,13.jpg,JPEG2000,"(27, 255)",JPEG2000 Encoder: Quality 27,2211,48.81581814236111,0.7781265122968463,26.06731342535354
213,13.jpg,JPEG2000,"(34, 255)",JPEG2000 Encoder: Quality 34,13325,22.131019603587962,0.8982862784098383,33.12541493402383
214,13.jpg,JPEG2000,"(43, 255)",JPEG2000 Encoder: Quality 43,100561,5.028266059027778,0.9649590136046048,41.10631685813794
215,12.jpg,JPEG2000,"(1, 255)",JPEG2000 Encoder: Quality 1,244,102.54122504340278,,-inf
216,12.jpg,JPEG2000,"(2, 255)",JPEG2000 Encoder: Quality 2,244,102.54122504340278,,-inf
217,12.jpg,JPEG2000,"(2, 255)",JPEG2000 Encoder: Quality 2,244,102.54122504340278,,-inf
218,12.jpg,JPEG2000,"(3, 255)",JPEG2000 Encoder: Quality 3,244,102.54122504340278,,-inf
219,12.jpg,JPEG2000,"(4, 255)",JPEG2000 Encoder: Quality 4,244,102.54122504340278,,-inf
220,12.jpg,JPEG2000,"(5, 255)",JPEG2000 Encoder: Quality 5,244,102.54122504340278,,-inf
221,12.jpg,JPEG2000,"(7, 255)",JPEG2000 Encoder: Quality 7,244,102.54122504340278,,-inf
222,12.jpg,JPEG2000,"(9, 255)",JPEG2000 Encoder: Quality 9,244,102.54122504340278,,-inf
223,12.jpg,JPEG2000,"(11, 255)",JPEG2000 Encoder: Quality 11,244,102.54122504340278,,-inf
224,12.jpg,JPEG2000,"(14, 255)",JPEG2000 Encoder: Quality 14,339,103.44636537905093,0.4019946823752865,12.376172789320139
225,12.jpg,JPEG2000,"(17, 255)",JPEG2000 Encoder: Quality 17,646,98.78069516782408,0.4860958939906969,16.12593965710124
226,12.jpg,JPEG2000,"(22, 255)",JPEG2000 Encoder: Quality 22,3008,72.37674877025464,0.6642762410748838,21.52245097100216
227,12.jpg,JPEG2000,"(27, 255)",JPEG2000 Encoder: Quality 27,12348,48.855321903935184,0.8265909022122381,26.558291875871678
228,12.jpg,JPEG2000,"(34, 255)",JPEG2000 Encoder: Quality 34,56212,22.33281394675926,0.9340001462023199,33.508121845257136
229,12.jpg,JPEG2000,"(43, 255)",JPEG2000 Encoder: Quality 43,247482,6.839436125578704,0.9727317582135874,39.74925867994206
230,sunrise.JPG,YChrDctNonTile,"(0, 0, 8)","KnockOffJpeg: YQ: 0.0, CQ: 0.0, CDiv: 8",0,113.54085973668981,0.20204166974480298,3.301473865714587
231,sunrise.JPG,YChrDctNonTile,"(1, 1, 8)","KnockOffJpeg: YQ: 0.01, CQ: 0.08, CDiv: 8",1008,33.164970341435186,0.696176739673227,25.67431748174731
232,sunrise.JPG,YChrDctNonTile,"(1, 1, 8)","KnockOffJpeg: YQ: 0.01, CQ: 0.08, CDiv: 8",1008,33.164970341435186,0.696176739673227,25.67431748174731
233,sunrise.JPG,YChrDctNonTile,"(2, 2, 8)","KnockOffJpeg: YQ: 0.02, CQ: 0.16, CDiv: 8",4200,19.08804832175926,0.7274690169646147,30.696261261622787
234,sunrise.JPG,YChrDctNonTile,"(3, 3, 8)","KnockOffJpeg: YQ: 0.03, CQ: 0.24, CDiv: 8",9576,15.256420717592592,0.7404266809126011,32.41767770085585
235,sunrise.JPG,YChrDctNonTile,"(5, 5, 8)","KnockOffJpeg: YQ: 0.05, CQ: 0.4, CDiv: 8",27648,12.425540002893518,0.7452050420901761,33.66178481666281
236,sunrise.JPG,YChrDctNonTile,"(7, 7, 8)","KnockOffJpeg: YQ: 0.07, CQ: 0.56, CDiv: 8",53400,11.504977213541666,0.7427299738505563,33.9412772314868
237,sunrise.JPG,YChrDctNonTile,"(11, 11, 8)","KnockOffJpeg: YQ: 0.11, CQ: 0.88, CDiv: 8",132720,11.21451027199074,0.7492773324394157,34.2183138062291
